schema_version,platform_id,run_profile,profile_note,env_group,case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,3,0,779.498722,779.498722,779.498722,769.34675,794.294166,10.70092723,779.498722,769.34675,794.294166,10.70092723,0.727752441,0.727752441,0,0,0,0,2582.8125,0,0,0,0,0,0,779.498722,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,3,13.653792,579.1654027,592.8191947,579.1654027,563.215333,590.405875,11.58926583,592.8191947,576.869125,604.059667,11.58926583,0.9794820185,0.9794820185,0.02303196678,0,0,220017600,2792.703125,0,13.653792,0,0,0.889625,0,571.182625,0,0,7.093152667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Apple M4 Max",14,14,3,629.296209,625.4456533,1254.741862,625.4456533,612.758584,635.100084,9.369572332,1254.741862,1242.054793,1264.396293,9.369572332,0.9070046209,0.9070046209,0.5015344015,0,0,1924445952,3789.859375,0,0,0,629.296209,0,0,625.4456533,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Apple M4 Max",14,14,3,228.162834,932.872792,1161.035626,932.872792,930.228375,934.705792,1.915831222,1161.035626,1158.391209,1162.868626,1.915831222,0.6081023078,0.6081023078,0.1965166519,1.228013142e-16,0.0048828125,8909472,4032.1875,50,0,228.162834,0,0,0,932.872792,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,3,0,429.3966947,429.3966947,429.3966947,416.810083,435.727584,8.900131364,429.3966947,416.810083,435.727584,8.900131364,1.321114263,0.6605571313,0,7.469762396e-18,0.00390625,0,4032.328125,0,0,0,0,0,0,429.3966947,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,3,25.294375,321.6595,346.953875,321.6595,304.8435,333.73825,12.26262064,346.953875,330.137875,359.032625,12.26262064,1.763610581,0.8818052905,0.07290414324,8.298033569e-18,0.0029296875,440035200,4452.015625,0,25.294375,0,0,2.003194667,0,312.30525,0,0,7.351055333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Apple M4 Max",14,14,3,671.254167,330.0738753,1001.328042,330.0738753,323.471417,334.916584,4.835321505,1001.328042,994.725584,1006.170751,4.835321505,1.718651914,0.8593259571,0.6703638954,0,0,1924445952,5770.15625,0,0,0,671.254167,0,0,330.0738753,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Apple M4 Max",14,14,3,204.841459,489.707097,694.548556,489.707097,485.422,492.812,3.130246892,694.548556,690.263459,697.653459,3.130246892,1.15841102,0.5792055099,0.2949274852,1.228013142e-16,0.0048828125,8909472,5770.15625,50,0,204.841459,0,0,0,489.707097,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,3,0.000167,293.2564447,293.2564447,293.2564447,292.013417,294.250334,0.9300544242,293.2564447,292.013417,294.250334,0.9300544242,1.934423294,0.6448077647,5.694674509e-07,1.368603269e-17,0.005859375,0,5770.15625,0,0,0,0,0,0,293.2564447,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,3,18.872917,224.444917,243.317834,224.444917,221.497625,226.558417,2.148536051,243.317834,240.370542,245.431334,2.148536051,2.527489173,0.842496391,0.07756487344,1.296852184e-17,0.0048828125,660052800,5872.4375,0,18.872917,0,0,2.768555667,0,216.2499723,0,0,5.426389,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
