platform_key,platform_title,platform_note,memory_kind,strategy_key,quadrant,method,thread_backend,time_display,memory_display,speedup_display,time_s,memory_gib,speedup_vs_q1,time_placeholder,memory_placeholder,source_status
macos_m4max,Global stiffness matrix assembly strategy comparison - macOS Apple M4 Max,"WindHub Tet4, Apple M4 Max, 14 physical cores; memory is pre-run lifecycle estimate, not OS peak capture.",pre-run lifecycle estimate,serial_direct,Q1,串行无符号直接,"1 thread, direct/no-symbolic",5.20 s,预估内存 2.39 GiB,1.00x,5.20,2.39,1.00,false,false,curated macOS timing with estimated lifecycle memory
macos_m4max,Global stiffness matrix assembly strategy comparison - macOS Apple M4 Max,"WindHub Tet4, Apple M4 Max, 14 physical cores; memory is pre-run lifecycle estimate, not OS peak capture.",pre-run lifecycle estimate,serial_symbolic,Q2,串行有符号 + 数值,"1 thread, cpu_serial",3.09 s,预估内存 0.96 GiB,1.68x,3.09,0.96,1.68,false,false,curated macOS timing with estimated lifecycle memory
macos_m4max,Global stiffness matrix assembly strategy comparison - macOS Apple M4 Max,"WindHub Tet4, Apple M4 Max, 14 physical cores; memory is pre-run lifecycle estimate, not OS peak capture.",pre-run lifecycle estimate,parallel_direct,Q3,并行无符号直接,"14 threads, direct/no-symbolic",1.67 s,预估内存 2.53 GiB†,3.11x,1.67,2.53,3.11,false,true,placeholder memory estimate pending retest
macos_m4max,Global stiffness matrix assembly strategy comparison - macOS Apple M4 Max,"WindHub Tet4, Apple M4 Max, 14 physical cores; memory is pre-run lifecycle estimate, not OS peak capture.",pre-run lifecycle estimate,parallel_symbolic,Q4,并行有符号 + 数值,"14 threads, cpu_atomic",662 ms,预估内存 1.10 GiB,7.86x,0.662,1.10,7.86,false,false,curated macOS timing with estimated lifecycle memory
linux_intel,Global stiffness matrix assembly strategy comparison - Linux Intel,"WindHub Tet4 physics_tet4, Intel Core Ultra 7 265KF, 20 physical cores; memory is isolated process peak RSS.",isolated OS peak RSS,serial_direct,Q1,串行无符号直接,"1 thread, direct/no-symbolic",10.21 s†,OS peak RSS 3.30 GiB†,1.00x,10.21,3.30,1.00,true,true,placeholder direct-serial estimate pending retest
linux_intel,Global stiffness matrix assembly strategy comparison - Linux Intel,"WindHub Tet4 physics_tet4, Intel Core Ultra 7 265KF, 20 physical cores; memory is isolated process peak RSS.",isolated OS peak RSS,serial_symbolic,Q2,串行有符号 + 数值,"1 thread, cpu_serial",4.39 s,OS peak RSS 2.72 GiB,2.33x,4.39,2.72,2.33,false,false,existing isolated-memory result
linux_intel,Global stiffness matrix assembly strategy comparison - Linux Intel,"WindHub Tet4 physics_tet4, Intel Core Ultra 7 265KF, 20 physical cores; memory is isolated process peak RSS.",isolated OS peak RSS,parallel_direct,Q3,并行无符号直接,"20 threads, direct/no-symbolic",2.64 s,OS peak RSS 3.75 GiB,3.87x,2.64,3.75,3.87,false,false,existing isolated-memory result
linux_intel,Global stiffness matrix assembly strategy comparison - Linux Intel,"WindHub Tet4 physics_tet4, Intel Core Ultra 7 265KF, 20 physical cores; memory is isolated process peak RSS.",isolated OS peak RSS,parallel_symbolic,Q4,并行有符号 + 数值,"20 threads, cpu_atomic",917 ms,OS peak RSS 3.28 GiB,11.14x,0.917,3.28,11.14,false,false,existing isolated-memory result
windows_amd,Global stiffness matrix assembly strategy comparison - Windows AMD,"WindHub Tet4 linear_elastic_solid, Windows AMD, 8-thread sweep; memory is GetProcessMemoryInfo peak working set.",OS peak working set,serial_direct,Q1,串行无符号直接,"1 thread, direct/no-symbolic",8.02 s†,OS peak working set 3.20 GiB†,1.00x,8.02,3.20,1.00,true,true,placeholder direct-serial estimate pending retest
windows_amd,Global stiffness matrix assembly strategy comparison - Windows AMD,"WindHub Tet4 linear_elastic_solid, Windows AMD, 8-thread sweep; memory is GetProcessMemoryInfo peak working set.",OS peak working set,serial_symbolic,Q2,串行有符号 + 数值,"1 thread, cpu_serial",4.08 s,OS peak working set 2.26 GiB,1.97x,4.08,2.26,1.97,false,false,existing Windows working-set result
windows_amd,Global stiffness matrix assembly strategy comparison - Windows AMD,"WindHub Tet4 linear_elastic_solid, Windows AMD, 8-thread sweep; memory is GetProcessMemoryInfo peak working set.",OS peak working set,parallel_direct,Q3,并行无符号直接,"8 threads, direct/no-symbolic",2.15 s,OS peak working set 3.65 GiB,3.73x,2.15,3.65,3.73,false,false,existing Windows working-set result
windows_amd,Global stiffness matrix assembly strategy comparison - Windows AMD,"WindHub Tet4 linear_elastic_solid, Windows AMD, 8-thread sweep; memory is GetProcessMemoryInfo peak working set.",OS peak working set,parallel_symbolic,Q4,并行有符号 + 数值,"8 threads, cpu_atomic",1.13 s,OS peak working set 2.32 GiB,7.10x,1.13,2.32,7.10,false,false,existing Windows working-set result
